"id","title_cn","prompt_type","category","subject","education_level","audience","output_format","ai_tool_or_method","prompt_cn","use_case_cn","source_title","source_url","accessed_date"
"prompt-001","45分钟课时设计生成器","备课设计","AI for Teaching & Assessment","通用备课","小学/中学/高等教育","教师","课时教案","ChatGPT/Gemini/Copilot","你是一名有经验的课程设计师。请根据以下信息设计一节45分钟课：学科：[学科]；年级：[年级]；主题：[主题]；学生已有基础：[已有基础]；学习目标：[目标]；可用设备：[设备]。请输出：1. 学习目标；2. 导入活动；3. 核心讲解；4. 学生活动；5. 形成性评价；6. 分层支持；7. 板书/投影片大纲；8. 课后延伸。要求活动具体、时间分配清楚、不要编造课程标准。","用于快速生成一节可落地的课堂设计，教师再根据班级情况调整。","AI for Education Prompt Library","https://www.aiforeducation.io/prompt-library","2026-06-16"
"prompt-002","单元逆向设计规划器","备课设计","AI for Teaching & Assessment","通用单元设计","小学/中学/高等教育","教师/课程主任","单元计划表","ChatGPT/Gemini/Copilot","请用逆向设计方法帮我规划一个[课时数量]课时的单元。学科：[学科]；年级：[年级]；单元主题：[主题]；最终表现任务：[学生最终作品或任务]。请输出表格，列包括：课时、核心问题、学习目标、课堂活动、学生产出、评价证据、需要的材料。请另列出本单元可能的误解和教师追问问题。","用于把一个主题拆成学习成果、评价证据和连续课时。","Columbia CTL Prompt Library","https://ai.ctl.columbia.edu/explore/prompts/","2026-06-16"
"prompt-003","课堂活动三选一生成器","课堂活动","AI for Teaching & Assessment","通用课堂活动","小学/中学","教师","活动方案","ChatGPT/Gemini/Copilot","我正在教[年级][学科]的[主题]。请围绕学习目标：[目标]，设计3个不同风格的课堂活动：A 安静独立思考型；B 小组合作探究型；C 游戏/角色扮演型。每个活动请写：所需时间、教师指令、学生步骤、产出物、如何判断学生是否学会、可能风险和替代方案。","用于同一教学目标下快速比较不同活动形式。","Google for Education Ready-to-use AI prompts for teaching","https://edu.google.com/intl/ALL_us/resources/ai-for-k-12-educators/","2026-06-16"
"prompt-004","分层学习单生成器","差异化支持","AI for Teaching & Assessment","通用分层教学","小学/中学","教师","三层学习单","ChatGPT/Gemini/Copilot","请为[年级][学科]主题：[主题] 设计一份分层学习单。学生差异：[简述学生差异]。请输出三层任务：基础巩固、标准掌握、挑战拓展。每层都要包含：任务说明、示例、学生作答区、教师观察点、常见错误提醒。要求三层围绕同一核心目标，不要让基础层变成机械抄写。","用于同一主题下生成基础、标准、挑战三个层次的任务。","Teaching Channel 65 AI Prompts for Lesson Planning","https://www.teachingchannel.com/k12-hub/blog/65-ai-prompts-for-lesson-planning/","2026-06-16"
"prompt-005","Exit Ticket 出门条生成器","评价反馈","AI for Teaching & Assessment","形成性评价","小学/中学/高等教育","教师","出门条题目","ChatGPT/Gemini/Copilot","请为一节关于[主题]的课设计5个Exit Ticket问题。学习目标：[目标]。问题类型请包括：1个概念判断、1个应用题、1个解释题、1个自评题、1个下一步提问。请给出每题的参考答案或判断标准，并说明教师如何根据学生答案把学生分成“需要补救/基本掌握/可拓展”三组。","用于课尾快速检查理解，并为下节课分组或补救提供依据。","AI for Education Prompt Library","https://www.aiforeducation.io/prompt-library","2026-06-16"
"prompt-006","Rubric 评价量规生成器","评价反馈","AI for Teaching & Assessment","项目/写作/展示评价","小学/中学/高等教育","教师/学生","评价量规","ChatGPT/Gemini/Copilot","请为以下学生任务设计一份4级评价量规。任务：[任务描述]；年级：[年级]；学科：[学科]；学习目标：[目标]。请用表格输出：评价维度、4分表现、3分表现、2分表现、1分表现。维度不超过5个，语言要学生看得懂。最后给出一段学生自评提示语。","用于项目学习、写作任务或展示任务的评价标准。","Columbia CTL Prompt Library","https://ai.ctl.columbia.edu/explore/prompts/","2026-06-16"
"prompt-007","学生作业反馈助手","评价反馈","AI for Teaching & Assessment","通用作业反馈","小学/中学/高等教育","教师","反馈清单","ChatGPT/Gemini/Copilot","你是一名严谨但鼓励学生的教师。请根据评价标准给这份学生作品提供反馈。学科：[学科]；年级：[年级]；任务要求：[任务要求]；评价标准：[标准]；学生作品：[粘贴作品]。请输出：1. 两个做得好的地方；2. 一个最需要改进的地方；3. 具体修改建议；4. 一个追问问题。不要直接替学生重写整篇作品。","用于把学生作品转化为具体、温和、可操作的反馈。","Google for Education Ready-to-use AI prompts for teaching","https://edu.google.com/intl/ALL_us/resources/ai-for-k-12-educators/","2026-06-16"
"prompt-008","家校沟通短信/邮件草稿","家校沟通","AI for Teaching & Assessment","家校沟通","幼稚园/小学/中学","教师/学校行政","家长通知/邮件","ChatGPT/Gemini/Copilot","请帮我写一封给家长的[短信/邮件/通知]。对象：[年级/班级]家长；主题：[主题]；语气：专业、温和、简洁；必须包含：[关键信息]；希望家长做的事：[行动]；截止日期：[日期，如无则写无]。请分别给出简体中文版本和英文版本，每个版本不超过180字。不要包含学生隐私信息。","用于把课堂活动、学生进步或需要家长配合的事项写成清楚友善的家长信息。","Moreland University AI Prompts Guide","https://teach.moreland.edu/ai-prompts-guide","2026-06-16"
"prompt-009","特殊学习需要支持建议","学生支持","AI for Teaching & Assessment","特殊教育/学习支持","小学/中学","教师/学习支持团队","支持策略清单","ChatGPT/Gemini/Copilot","请为一名有[学习需要，如读写困难/注意力困难/语言支持需要]的[年级]学生，调整这个课堂任务：[任务描述]。请输出：1. 可能障碍；2. 保持同一学习目标的任务调整；3. 课堂提示语；4. 可视化/分步骤支架；5. 评价时可以接受的替代表达方式。请避免医学诊断，只给教学支持建议。","用于把同一课堂任务改写成更可进入的学习路径。","AI for Education Prompt Library","https://www.aiforeducation.io/prompt-library","2026-06-16"
"prompt-010","AI 素养课堂：可信度与幻觉检查","课堂活动","AI Literacy","AI素养","小学高年级/中学","教师/学生","课堂活动与学习单","ChatGPT/Gemini/Copilot","请设计一节关于“AI回答不一定正确”的AI素养课。年级：[年级]；学生已使用过的AI工具：[工具]；主题：[学科主题]。请生成：1. 一个含有2-3处可疑点的AI回答样例；2. 学生核查表；3. 小组讨论问题；4. 教师总结语；5. 课后反思题。要求学生必须回到可靠来源核查，不把AI当作最终答案。","用于教学生识别 AI 输出的不确定性和核查来源。","Microsoft Learn AI for education","https://learn.microsoft.com/en-us/training/educator-center/topics/ai-for-education","2026-06-16"
